Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
Jacksonville,FL,KJAX,30.49,-81.70,2026-02-04,00:00,00Z,79,81,2,,,82,3,81,2,IEM,OK,Exact 250 mb level.
Key West,FL,KEYW,24.55,-81.78,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Miami,FL,KMFL,25.85,-80.31,2026-02-04,00:00,00Z,84,82,-2,,,80,-4,79,-5,IEM,OK,Exact 250 mb level.
Tampa Bay,FL,KTBW,27.70,-82.40,2026-02-04,00:00,00Z,78,80,2,,,80,2,81,3,IEM,OK,Exact 250 mb level.
Tallahassee,FL,KTLH,30.39,-84.35,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Cape Canaveral,FL,KXMR,28.46,-80.56,2026-02-02,12:00,12Z,120,121,1,,,115,-5,119,-1,IEM,OK,Exact 250 mb level.
Eglin AFB,FL,KVPS,30.48,-86.53,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Caribou,ME,KCAR,46.87,-68.01,2026-02-04,00:00,00Z,21,19,-2,,,23,2,23,2,IEM,OK,Exact 250 mb level.
Gray/Portland,ME,KGYX,43.89,-70.25,2026-02-03,12:00,12Z,24,23,-1,,,26,2,27,3,IEM,OK,Exact 250 mb level.
Chatham,MA,KCHH,41.69,-69.96,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Albany,NY,KALB,42.75,-73.80,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Upton/NYC,NY,KOKX,40.86,-72.87,2026-02-04,00:00,00Z,91,91,0,,,93,2,91,0,IEM,OK,Exact 250 mb level.
Buffalo,NY,KBUF,42.94,-78.73,2026-02-04,00:00,00Z,67,63,-5,,,62,-5,60,-7,IEM,OK,Exact 250 mb level.
Wallops Island,VA,KWAL,37.93,-75.48,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Sterling/DC,VA,KIAD,38.98,-77.47,2026-02-04,00:00,00Z,100,95,-5,,,98,-2,98,-2,IEM,OK,Exact 250 mb level.
Blacksburg,VA,KRNK,37.20,-80.41,2026-02-04,00:00,00Z,106,110,4,,,108,2,103,-4,IEM,OK,Exact 250 mb level.
Pittsburgh,PA,KPIT,40.53,-80.22,2026-02-04,00:00,00Z,78,77,-1,,,77,-1,78,0,IEM,OK,Exact 250 mb level.
Morehead City,NC,KMHX,34.77,-76.88,2026-02-04,00:00,00Z,98,101,3,,,104,6,103,5,IEM,OK,Exact 250 mb level.
Greensboro,NC,KGSO,36.08,-79.95,2026-02-04,00:00,00Z,107,111,4,,,111,4,108,1,IEM,OK,Exact 250 mb level.
Charleston,SC,KCHS,32.90,-80.03,2026-02-04,00:00,00Z,91,92,1,,,93,2,91,0,IEM,OK,Exact 250 mb level.
Peachtree City,GA,KFFC,33.36,-84.57,2026-02-04,00:00,00Z,85,89,4,,,89,4,90,5,IEM,OK,Exact 250 mb level.
Birmingham,AL,KBMX,33.17,-86.77,2026-02-04,00:00,00Z,89,92,3,,,93,4,91,2,IEM,OK,Exact 250 mb level.
Jackson,MS,KJAN,32.32,-90.08,2026-02-04,00:00,00Z,93,96,3,,,93,0,96,3,IEM,OK,Exact 250 mb level.
Slidell/NOLA,LA,KLIX,30.33,-89.82,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Lake Charles,LA,KLCH,30.12,-93.22,2026-02-04,00:00,00Z,101,100,-1,,,99,-3,101,-1,IEM,OK,Exact 250 mb level.
Shreveport,LA,KSHV,32.45,-93.84,2026-02-04,00:00,00Z,90,93,3,,,93,3,92,2,IEM,OK,Exact 250 mb level.
Little Rock,AR,KLZK,34.83,-92.26,2026-02-04,00:00,00Z,81,78,-3,,,84,3,84,3,IEM,OK,Exact 250 mb level.
Nashville,TN,KOHX,36.25,-86.57,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Wilmington,OH,KILN,39.42,-83.82,2026-02-04,00:00,00Z,70,68,-2,,,71,1,70,0,IEM,OK,Exact 250 mb level.
Detroit/White Lake,MI,KDTX,42.70,-83.47,2026-02-04,00:00,00Z,48,54,6,,,54,6,56,8,IEM,OK,Exact 250 mb level.
Gaylord,MI,KAPX,44.91,-84.72,2026-02-04,00:00,00Z,47,47,0,,,49,2,51,4,IEM,OK,Exact 250 mb level.
Green Bay,WI,KGRB,44.48,-88.13,2026-02-03,18:00,18Z,59,56,-3,,,53,-6,53,-6,IEM,OK,Exact 250 mb level.
Lincoln,IL,KILX,40.15,-89.34,2026-02-04,00:00,00Z,28,21,-7,,,21,-7,25,-3,IEM,OK,Exact 250 mb level.
Davenport,IA,KDVN,41.61,-90.58,2026-02-04,00:00,00Z,20,21,1,,,19,-1,22,2,IEM,OK,Exact 250 mb level.
Springfield,MO,KSGF,37.23,-93.39,2026-02-04,00:00,00Z,65,61,-4,,,62,-3,58,-7,IEM,OK,Exact 250 mb level.
Minneapolis/Chanhassen,MN,KMPX,44.85,-93.56,2026-02-04,00:00,00Z,25,28,3,,,25,0,24,-1,IEM,OK,Exact 250 mb level.
International Falls,MN,KINL,48.56,-93.40,2026-02-04,00:00,00Z,28,32,4,,,29,1,29,1,IEM,OK,Exact 250 mb level.
Aberdeen,SD,KABR,45.45,-98.42,2026-02-04,00:00,00Z,36,38,2,,,38,2,36,0,IEM,OK,Exact 250 mb level.
Rapid City,SD,KUNR,44.07,-103.20,2026-02-04,00:00,00Z,101,104,3,,,105,4,106,5,IEM,OK,Exact 250 mb level.
Bismarck,ND,KBIS,46.77,-100.75,2026-02-03,18:00,18Z,36,36,0,,,40,4,39,3,IEM,OK,Exact 250 mb level.
Omaha/Valley,NE,KOAX,41.32,-96.37,2026-02-04,00:00,00Z,33,33,0,,,31,-2,32,-1,IEM,OK,Exact 250 mb level.
North Platte,NE,KLBF,41.13,-100.68,2026-02-04,00:00,00Z,48,48,0,,,51,3,48,0,IEM,OK,Exact 250 mb level.
Topeka,KS,KTOP,39.07,-95.63,2026-02-04,00:00,00Z,41,36,-6,,,38,-3,36,-5,IEM,OK,Exact 250 mb level.
Dodge City,KS,KDDC,37.77,-99.97,2026-02-04,00:00,00Z,42,39,-3,,,41,-1,42,0,IEM,OK,Exact 250 mb level.
Norman/OKC,OK,KOUN,35.18,-97.44,2026-02-04,00:00,00Z,94,85,-9,,,84,-10,84,-10,IEM,OK,Exact 250 mb level.
Tulsa/Lamont,OK,KLMN,36.69,-97.48,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Amarillo,TX,KAMA,35.23,-101.70,2026-02-04,00:00,00Z,69,68,-1,,,74,5,67,-2,IEM,OK,Exact 250 mb level.
Fort Worth,TX,KFWD,32.83,-97.30,2026-02-04,00:00,00Z,96,92,-4,,,93,-3,94,-2,IEM,OK,Exact 250 mb level.
Midland,TX,KMAF,31.95,-102.18,2026-02-04,00:00,00Z,85,80,-5,,,78,-7,83,-3,IEM,OK,Exact 250 mb level.
Del Rio,TX,KDRT,29.37,-100.92,2026-02-04,00:00,00Z,100,100,0,,,100,0,98,-3,IEM,OK,Exact 250 mb level.
Corpus Christi,TX,KCRP,27.77,-97.50,2026-02-04,00:00,00Z,83,85,2,,,85,2,87,4,IEM,OK,Exact 250 mb level.
Brownsville,TX,KBRO,25.91,-97.41,2026-02-04,00:00,00Z,92,88,-5,,,80,-12,85,-7,IEM,OK,Exact 250 mb level.
El Paso,TX,KEPZ,31.87,-106.70,2026-02-04,00:00,00Z,59,54,-5,,,53,-7,49,-10,IEM,OK,Exact 250 mb level.
Denver,CO,KDNR,39.75,-104.87,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Grand Junction,CO,KGJT,39.12,-108.52,2026-02-04,00:00,00Z,99,102,3,,,104,5,96,-3,IEM,OK,Exact 250 mb level.
Riverton,WY,KRIW,43.06,-108.47,2026-02-04,00:00,00Z,105,110,5,,,105,0,105,0,IEM,OK,Exact 250 mb level.
Great Falls,MT,KGTF,47.47,-111.38,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Glasgow,MT,KGGW,48.21,-106.62,2026-02-04,00:00,00Z,132,131,-1,,,134,2,132,0,IEM,OK,Exact 250 mb level.
Albuquerque,NM,KABQ,35.04,-106.62,2026-02-04,00:00,00Z,61,55,-6,,,50,-11,51,-10,IEM,OK,Exact 250 mb level.
Salt Lake City,UT,KSLC,40.77,-111.97,2026-02-04,00:00,00Z,77,78,1,,,78,1,75,-3,IEM,OK,Exact 250 mb level.
Flagstaff,AZ,KFGZ,35.23,-111.82,2026-02-04,00:00,00Z,43,44,1,,,42,-1,48,5,IEM,OK,Exact 250 mb level.
Tucson,AZ,KTWC,32.23,-110.96,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Boise,ID,KBOI,43.56,-116.24,2026-02-04,00:00,00Z,51,50,-1,,,49,-2,48,-3,IEM,OK,Exact 250 mb level.
Spokane,WA,KOTX,47.68,-117.63,2026-02-03,18:00,18Z,67,63,-4,,,63,-4,62,-5,IEM,OK,Exact 250 mb level.
Quillayute,WA,KUIL,47.95,-124.55,2026-02-04,00:00,00Z,64,62,-2,,,61,-3,62,-2,IEM,OK,Exact 250 mb level.
Salem,OR,KSLE,44.91,-123.00,2026-02-04,00:00,00Z,33,32,-1,,,30,-3,27,-6,IEM,OK,Exact 250 mb level.
Medford,OR,KMFR,42.38,-122.87,2026-02-04,00:00,00Z,18,21,3,,,20,2,19,1,IEM,OK,Exact 250 mb level.
Reno,NV,KREV,39.56,-119.80,2026-02-04,00:00,00Z,40,39,-1,,,37,-3,37,-3,IEM,OK,Exact 250 mb level.
